단지코드,총세대수,임대건물구분,지역,공급유형,전용면적,전용면적별세대수,공가수,자격유형,임대보증금,임대료,도보 10분거리 내 지하철역 수(환승노선 수 반영),도보 10분거리 내 버스정류장 수,단지내주차면수,등록차량수
C1439,1755,아파트,부산광역시,영구임대,26.37,1470,29.0,C,5787000,79980,1.0,3.0,270.0,172.0
C1439,1755,아파트,부산광역시,영구임대,31.32,120,29.0,C,6873000,94990,1.0,3.0,270.0,172.0
C1439,1755,아파트,부산광역시,영구임대,40.32,120,29.0,C,8848000,122290,1.0,3.0,270.0,172.0
C1439,1755,상가,부산광역시,임대상가,15.0,1,29.0,D,1670000,25600,1.0,3.0,270.0,172.0
C1439,1755,상가,부산광역시,임대상가,16.57,1,29.0,D,6170000,104720,1.0,3.0,270.0,172.0
C1439,1755,상가,부산광역시,임대상가,18.38,1,29.0,D,912000,38000,1.0,3.0,270.0,172.0
C1439,1755,상가,부산광역시,임대상가,20.9,1,29.0,D,3140800.562524195,87932.3478845749,1.0,3.0,270.0,172.0
C1439,1755,상가,부산광역시,임대상가,21.94,1,29.0,D,3566512.164701379,90106.0623822501,1.0,3.0,270.0,172.0
C1439,1755,상가,부산광역시,임대상가,23.35,1,29.0,D,4143678.8561146734,93053.11761467511,1.0,3.0,270.0,172.0
C1439,1755,상가,부산광역시,임대상가,26.25,1,29.0,D,1296000,54000,1.0,3.0,270.0,172.0
C1439,1755,상가,부산광역시,임대상가,28.38,1,29.0,D,6202649.393567777,103566.37138708486,1.0,3.0,270.0,172.0
C1439,1755,상가,부산광역시,임대상가,28.5,1,29.0,D,10270000,158700,1.0,3.0,270.0,172.0
C1439,1755,상가,부산광역시,임대상가,33.15,1,29.0,D,12210000,188700,1.0,3.0,270.0,172.0
C1439,1755,상가,부산광역시,임대상가,33.31,1,29.0,D,5496000,229000,1.0,3.0,270.0,172.0
C1439,1755,상가,부산광역시,임대상가,33.39,1,29.0,D,8253433.169440552,114037.82295761624,1.0,3.0,270.0,172.0
C1439,1755,상가,부산광역시,임대상가,33.51,1,29.0,D,1656000,69000,1.0,3.0,270.0,172.0
C1439,1755,상가,부산광역시,임대상가,40.39,1,29.0,D,11118799.722556204,128668.59361504533,1.0,3.0,270.0,172.0
C1439,1755,상가,부산광역시,임대상가,61.89,1,29.0,D,23072000,128000,1.0,3.0,270.0,172.0
C1439,1755,상가,부산광역시,임대상가,404.65,1,29.0,D,13440000,560000,1.0,3.0,270.0,172.0
