지역,남자인구수,여자인구수,승용차수
서울특별시,4654720,4920635,2711984
부산광역시,1648965,1718369,1189345
대구광역시,1184977,1217963,1027075
인천광역시,1470528,1465854,1426203
광주광역시,714101,729053,576366
대전광역시,727279,729882,576906
울산광역시,579316,547859,486959
세종특별자치시,180778,181258,4966689
경기도,6789327,6699583,153330
강원도,772893,762598,617377
충청북도,809946,787009,672910
충청남도,1081854,1035406,879120
전라북도,892833,901849,724324
전라남도,927074,915349,807039
경상북도,1327307,1306285,1098846
경상남도,1675389,1651909,1432989
제주특별자치도,338566,336311,513493
